Domain,Bill,Year,Status,Summary,Labor,Coalition,Coalition_reason,OneNation,OneNation_reason,Greens,Greens_reason,Confidence_notes
Climate & Energy,Climate Change Act,2022,Passed,"Legislates 43% emissions cut by 2030 and net zero by 2050 with annual climate statements",For,Against,"Said legislating a target was unnecessary red tape and economically risky",Against,"Climate-sceptic; called for the bill's rejection on no-cost-benefit grounds",For,"Backed it as a floor while pushing for a 75% target and a ban on new coal/gas (opposed from the left, voted yes)","High confidence on direction"
Climate & Energy,Safeguard Mechanism (Crediting) Amendment Act,2023,Passed (amended),"Forces ~215 biggest emitters to cut emissions ~4.9%/yr via declining tradable baselines",For,Against,"Branded it a carbon tax by another name that raises costs and threatens industry",Against,"Anti-climate-policy stance",For,"Negotiated from the left; won a hard cap on absolute emissions and a pollution trigger for new fossil projects","One Nation direction reliable, exact division not confirmed"
Climate & Energy,Nature Repair Act,2023,Passed (amended),"Creates a national voluntary biodiversity market with tradable nature-restoration certificates",For,Against,"Backflipped from support; said Labor's version diverged too far ahead of EPBC reform",Against,"Consistent anti-scheme stance",For,"Opposed as greenwashing then voted for after winning a ban on using certificates as offsets (from the left)","One Nation exact division not confirmed"
Climate & Energy,Net Zero Economy Authority Act,2024,Passed (amended),"Statutory body to manage transition - retrain coal/gas workers, attract clean-energy investment",For,Against,"Called it a top-down Canberra-centric union wish-list",Against,"Categorically anti-net-zero; has flagged repeal",For,"Won baseline operational funding and stronger worker/community reporting (from the left)","One Nation exact division not confirmed"
Climate & Energy,New Vehicle Efficiency Standard Act,2024,Passed,"Australia's first binding fleet-average CO2 standard for new light vehicles, with penalties",For,Against,"Branded it a ute tax / family-car tax (HiLux, Ranger)",Against,"Ran an Is your HiLux next anti-ute-tax campaign",For,"Wanted tougher standards; support traded for dropping an unrelated gas fast-track (from the left)","One Nation exact division not confirmed"
Climate & Energy,Treasury Laws Amendment (Energy Price Relief Plan) Act,2022,Passed (amended),"Emergency 12-month $12/GJ gas price cap plus ~$1.5bn household and small-business bill relief",For,Against,"Opposed price caps as heavy-handed market intervention and sovereign risk",Against,"Sen. Roberts spoke against; opposed price intervention",For,"Won a ~$1.5bn low-income electrification package; their windfall-tax price-freeze amendment was voted down (from the left)","High confidence on direction"
Climate & Energy,National Reconstruction Fund Corporation Act,2023,Passed (amended),"$15bn investment vehicle (loans, guarantees, equity) across seven priority areas incl. renewables",For,Against,"Called it a slush fund; attacked the Labor-Greens exclusion of new coal/gas",Unclear,"Division exists but party breakdown not retrievable",For,"Negotiated the exclusion of new coal/gas/native-forestry from eligibility (from the left)","One Nation unverified"
Industrial Relations,Fair Work (Secure Jobs Better Pay) Act,2022,Passed (amended),"Introduced multi-employer bargaining, banned pay-secrecy clauses, limited zombie agreements",For,Against,"Feared multi-employer bargaining drags in small business and raises strike risk",Against,"Joined the crossbench delay push then voted no (not decisive)",For,"Provided decisive Senate votes; framed it as wage-lifting (from the left)","One Nation per union record, exact roll unconfirmed"
Industrial Relations,Fair Work (Protecting Worker Entitlements) Act,2023,Passed,"Added super to the National Employment Standards, protected migrant-worker entitlements",For,For,"Broadly did not oppose (bipartisan); its super-overlap amendments were defeated",Unclear,"No specific recorded vote located",For,"Backed worker-protection and migrant-worker provisions",""
Industrial Relations,Fair Work (Closing Loopholes) Act,2023,Passed,"Criminalised wage theft; same-job-same-pay for labour-hire; workplace-delegate rights",For,Against,"Opposed same-job-same-pay and wage-theft criminalisation as burdens on business; pledged repeal",Against,"Per union record (not decisive)",For,"Pushed to add super theft to the criminal wage-theft provisions (from the left)","One Nation per union record"
